detector,gps_start,family,m_channels,n_windows,n_surrogate_pairs,threshold_fw,cmax_observed,top_channel,top_channel_baseline,threshold_zero_lag,verdict,dsd_class,dsd_score,taxonomy_representation,top_channel_class,verdict_tier
L1,1370823068,Family_01,7,133,17556,0.861355721950531,0.5398467012028545,L1:SUS-ETMX_L3_CAL_LINE_OUT_DQ,0.26660069823265076,0.9298829436302185,NO_CORRELATION,BACKGROUND,0.100389540195465,idxq4-64_queryq4-64,CAL_LINE,NO_CORRELATION
L1,1370866172,Family_01,7,115,13110,0.7071740031242371,0.4782906178764163,L1:IMC-WFS_B_I_PIT_OUT_DQ,0.30199119448661804,0.8641947507858276,NO_CORRELATION,BACKGROUND,0.1458134353160858,idxq4-64_queryq4-64,IMC,NO_CORRELATION
L1,1370926300,Family_01,7,120,14280,0.8793669939041138,0.485613790701181,L1:CAL-PCALY_RX_PD_OUT_DQ,0.22997809946537018,0.9196502566337585,NO_CORRELATION,ROBUST,0.219608873128891,idxq4-64_queryq4-64,CAL_LINE,NO_CORRELATION
L1,1370938204,Family_01,7,111,12210,0.8072614073753357,0.7625128151653799,L1:IMC-WFS_B_I_PIT_OUT_DQ,0.3807513117790222,0.9322419762611389,NO_CORRELATION,BACKGROUND,0.0931800752878189,idxq4-64_queryq4-64,IMC,NO_CORRELATION
L1,1370953084,Family_01,7,111,12210,0.8072614073753357,0.8067898157774646,L1:ASC-X_TR_A_NSUM_OUT_DQ,0.40115973353385925,0.9322419762611389,NO_CORRELATION,ROBUST,0.4129555523395538,idxq4-64_queryq4-64,ASC,NO_CORRELATION
L1,1370967068,Family_01,7,111,12210,0.8072614073753357,0.5984977601245636,L1:IMC-WFS_B_I_PIT_OUT_DQ,0.3807513117790222,0.9322419762611389,NO_CORRELATION,BACKGROUND,0.1427672058343887,idxq4-64_queryq4-64,IMC,NO_CORRELATION
L1,1370975356,Family_01,7,126,15750,0.7970167398452759,0.8732612304269635,L1:IMC-WFS_B_I_PIT_OUT_DQ,0.3758513927459717,0.8947047591209412,COUPLED,BACKGROUND,0.0881917029619216,idxq4-64_queryq4-64,IMC,SUSPECT
L1,1372118300,Family_01,7,117,13572,0.9189020991325378,0.7848513712130664,L1:CAL-PCALY_RX_PD_OUT_DQ,0.22297675907611847,0.9519659280776978,NO_CORRELATION,BACKGROUND,0.0739753246307373,idxq4-64_queryq4-64,CAL_LINE,NO_CORRELATION
L1,1372151452,Family_01,7,103,10506,0.7464598417282104,0.7304658788629051,L1:IMC-WFS_B_I_PIT_OUT_DQ,0.3581979274749756,0.8970819115638733,NO_CORRELATION,BACKGROUND,0.0752179101109504,idxq4-64_queryq4-64,IMC,NO_CORRELATION
L1,1372237020,Family_01,7,120,14280,0.8066173791885376,0.4302597768557892,L1:IMC-WFS_B_I_PIT_OUT_DQ,0.4552227258682251,0.9093682765960693,NO_CORRELATION,AMBIGUOUS,0.1821765750646591,idxq4-64_queryq4-64,IMC,NO_CORRELATION
