gps_start,detector,session_id,origin_table,local_cluster_id,global_family_id,max_similarity_to_3a,transitivity_status,gravity_spy_label,gravity_spy_confidence,robustness_class_idxq4_64_queryq4_64,native_score_idxq4_64_queryq4_64,robustness_class,native_o4a_score
1369285884.0,L1,1368973312,3a,C11,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,ROBUST,0.4486102163791656,ROBUST,0.4486102163791656
1369286780.0,H1,1368973312,3a,C6,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,ROBUST,0.2484990358352661,ROBUST,0.2484990358352661
1369287260.0,L1,1368973312,3a,C9,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,AMBIGUOUS,0.1613743752241134,AMBIGUOUS,0.1613743752241134
1369287676.0,H1,1368973312,3a,C3,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,BACKGROUND,0.09232809394598,BACKGROUND,0.09232809394598
1369288704.0,H1,1368973312,3a,C10,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,BACKGROUND,0.0784860923886299,BACKGROUND,0.0784860923886299
1369288892.0,H1,1368973312,3a,C8,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,ROBUST,0.4220768213272095,ROBUST,0.4220768213272095
1369289084.0,H1,1368973312,3a,C13,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,BACKGROUND,0.1088161617517471,BACKGROUND,0.1088161617517471
1369289180.0,H1,1368973312,3a,C3,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,BACKGROUND,0.0740153789520263,BACKGROUND,0.0740153789520263
1369289724.0,L1,1368973312,3a,C10,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,ROBUST,0.3908751904964447,ROBUST,0.3908751904964447
1369290428.0,H1,1368973312,3a,C11,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,ROBUST,0.2380896508693695,ROBUST,0.2380896508693695
1369290876.0,H1,1368973312,3a,C2,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,ROBUST,0.4410910904407501,ROBUST,0.4410910904407501
1369291452.0,L1,1368973312,3a,C8,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,ROBUST,0.4481833875179291,ROBUST,0.4481833875179291
1369291964.0,H1,1368973312,3a,C2,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,ROBUST,0.4064918458461761,ROBUST,0.4064918458461761
1369300860.0,L1,1368973312,3a,C11,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,ROBUST,0.4170876443386078,ROBUST,0.4170876443386078
