candidate_id,gps_start,detector,legacy_class,score,class,variant
1375165276.0_L1,1375165276.0,L1,ROBUST,0.4277350604534149,ROBUST,idxq4-64_queryq4-64
1375167868.0_L1,1375167868.0,L1,AMBIGUOUS,0.2101736664772033,AMBIGUOUS,idxq4-64_queryq4-64
1375168860.0_H1,1375168860.0,H1,ROBUST,0.4337071180343628,ROBUST,idxq4-64_queryq4-64
1375169180.0_H1,1375169180.0,H1,ROBUST,0.4498942792415619,ROBUST,idxq4-64_queryq4-64
1375172028.0_H1,1375172028.0,H1,ROBUST,0.4290647506713867,ROBUST,idxq4-64_queryq4-64
1375172316.0_L1,1375172316.0,L1,ROBUST,0.4421352446079254,ROBUST,idxq4-64_queryq4-64
1375173628.0_L1,1375173628.0,L1,BACKGROUND,0.1047169864177703,BACKGROUND,idxq4-64_queryq4-64
1375173852.0_H1,1375173852.0,H1,ROBUST,0.4722349047660827,ROBUST,idxq4-64_queryq4-64
1375174364.0_L1,1375174364.0,L1,BACKGROUND,0.0753275454044342,BACKGROUND,idxq4-64_queryq4-64
1375176956.0_H1,1375176956.0,H1,ROBUST,0.4312467575073242,ROBUST,idxq4-64_queryq4-64
1375178492.0_L1,1375178492.0,L1,ROBUST,0.430014044046402,ROBUST,idxq4-64_queryq4-64
1375179356.0_H1,1375179356.0,H1,ROBUST,0.4488151371479034,ROBUST,idxq4-64_queryq4-64
1375215196.0_L1,1375215196.0,L1,ROBUST,0.4219954311847687,ROBUST,idxq4-64_queryq4-64
1375223580.0_H1,1375223580.0,H1,ROBUST,0.4427447021007538,ROBUST,idxq4-64_queryq4-64
1375225564.0_H1,1375225564.0,H1,ROBUST,0.4702670872211456,ROBUST,idxq4-64_queryq4-64
1375225788.0_L1,1375225788.0,L1,ROBUST,0.4213794767856598,ROBUST,idxq4-64_queryq4-64
1375228668.0_L1,1375228668.0,L1,ROBUST,0.430711030960083,ROBUST,idxq4-64_queryq4-64
1375229820.0_L1,1375229820.0,L1,ROBUST,0.4048912525177002,ROBUST,idxq4-64_queryq4-64
1375233788.0_H1,1375233788.0,H1,ROBUST,0.2579505443572998,ROBUST,idxq4-64_queryq4-64
1375235612.0_L1,1375235612.0,L1,ROBUST,0.431072324514389,ROBUST,idxq4-64_queryq4-64
1375239644.0_L1,1375239644.0,L1,ROBUST,0.4495922029018402,ROBUST,idxq4-64_queryq4-64
1375246268.0_L1,1375246268.0,L1,ROBUST,0.4182449281215668,ROBUST,idxq4-64_queryq4-64
1375247772.0_L1,1375247772.0,L1,ROBUST,0.4427497684955597,ROBUST,idxq4-64_queryq4-64
1375247804.0_L1,1375247804.0,L1,ROBUST,0.4378491938114166,ROBUST,idxq4-64_queryq4-64
1375248988.0_H1,1375248988.0,H1,ROBUST,0.4326696991920471,ROBUST,idxq4-64_queryq4-64
1375250044.0_L1,1375250044.0,L1,ROBUST,0.4128964841365814,ROBUST,idxq4-64_queryq4-64
1375250780.0_H1,1375250780.0,H1,ROBUST,0.4524491131305694,ROBUST,idxq4-64_queryq4-64
1375253340.0_H1,1375253340.0,H1,ROBUST,0.4546337127685547,ROBUST,idxq4-64_queryq4-64
1375255580.0_H1,1375255580.0,H1,ROBUST,0.4628709256649017,ROBUST,idxq4-64_queryq4-64
1375260316.0_L1,1375260316.0,L1,ROBUST,0.4438816010951996,ROBUST,idxq4-64_queryq4-64
1375263676.0_L1,1375263676.0,L1,ROBUST,0.4371044635772705,ROBUST,idxq4-64_queryq4-64
1375265820.0_L1,1375265820.0,L1,ROBUST,0.4294145405292511,ROBUST,idxq4-64_queryq4-64
1375266908.0_L1,1375266908.0,L1,ROBUST,0.4440022706985473,ROBUST,idxq4-64_queryq4-64
1375266940.0_L1,1375266940.0,L1,ROBUST,0.4200400710105896,ROBUST,idxq4-64_queryq4-64
1375267804.0_L1,1375267804.0,L1,ROBUST,0.4720255434513092,ROBUST,idxq4-64_queryq4-64
1375276796.0_H1,1375276796.0,H1,ROBUST,0.4536094069480896,ROBUST,idxq4-64_queryq4-64
1375277788.0_H1,1375277788.0,H1,AMBIGUOUS,0.1699187159538269,AMBIGUOUS,idxq4-64_queryq4-64
1375277820.0_H1,1375277820.0,H1,ROBUST,0.2136666923761367,ROBUST,idxq4-64_queryq4-64
1375278588.0_L1,1375278588.0,L1,ROBUST,0.4254487454891205,ROBUST,idxq4-64_queryq4-64
1375278940.0_L1,1375278940.0,L1,AMBIGUOUS,0.1626733392477035,AMBIGUOUS,idxq4-64_queryq4-64
1375279932.0_H1,1375279932.0,H1,ROBUST,0.4170148074626922,ROBUST,idxq4-64_queryq4-64
1375286556.0_L1,1375286556.0,L1,ROBUST,0.4490186870098114,ROBUST,idxq4-64_queryq4-64
1375287452.0_L1,1375287452.0,L1,ROBUST,0.4243356883525848,ROBUST,idxq4-64_queryq4-64
1375291804.0_L1,1375291804.0,L1,ROBUST,0.4263977110385895,ROBUST,idxq4-64_queryq4-64
1375298332.0_L1,1375298332.0,L1,AMBIGUOUS,0.2002139091491699,AMBIGUOUS,idxq4-64_queryq4-64
1375299196.0_L1,1375299196.0,L1,AMBIGUOUS,0.1622575968503952,AMBIGUOUS,idxq4-64_queryq4-64
1375299228.0_L1,1375299228.0,L1,AMBIGUOUS,0.1994789093732834,AMBIGUOUS,idxq4-64_queryq4-64
1375299260.0_L1,1375299260.0,L1,AMBIGUOUS,0.1659955829381942,AMBIGUOUS,idxq4-64_queryq4-64
1375309276.0_L1,1375309276.0,L1,ROBUST,0.4342956840991974,ROBUST,idxq4-64_queryq4-64
1375309372.0_L1,1375309372.0,L1,ROBUST,0.4390462338924408,ROBUST,idxq4-64_queryq4-64
1375312796.0_L1,1375312796.0,L1,ROBUST,0.4629857242107391,ROBUST,idxq4-64_queryq4-64
1375318972.0_L1,1375318972.0,L1,ROBUST,0.426475465297699,ROBUST,idxq4-64_queryq4-64
1375327452.0_L1,1375327452.0,L1,BACKGROUND,0.1458305120468139,BACKGROUND,idxq4-64_queryq4-64
1375329372.0_H1,1375329372.0,H1,ROBUST,0.2599656283855438,ROBUST,idxq4-64_queryq4-64
1375331324.0_L1,1375331324.0,L1,BACKGROUND,0.1088252216577529,BACKGROUND,idxq4-64_queryq4-64
1375332476.0_L1,1375332476.0,L1,ROBUST,0.4580982327461242,ROBUST,idxq4-64_queryq4-64
1375334172.0_H1,1375334172.0,H1,AMBIGUOUS,0.1606332808732986,AMBIGUOUS,idxq4-64_queryq4-64
1375347708.0_H1,1375347708.0,H1,ROBUST,0.4105539917945862,ROBUST,idxq4-64_queryq4-64
1375348476.0_H1,1375348476.0,H1,ROBUST,0.4882167279720306,ROBUST,idxq4-64_queryq4-64
1375388828.0_H1,1375388828.0,H1,ROBUST,0.4537009596824646,ROBUST,idxq4-64_queryq4-64
1375389084.0_H1,1375389084.0,H1,ROBUST,0.4214513003826141,ROBUST,idxq4-64_queryq4-64
1375389436.0_H1,1375389436.0,H1,ROBUST,0.436976283788681,ROBUST,idxq4-64_queryq4-64
