gps_start,analysis_start,detector,pad_s,score,stored_pad4_score,pad4_anchor_abs_delta,fixed_pad4_threshold_class,pad_specific_threshold_class,pad_specific_ci_lower,pad_specific_ci_upper,representation
1374849628,1374849632.0,H1,16.0,0.13210172951221466,0.1299405843019485,,AMBIGUOUS,AMBIGUOUS,0.12798184379935182,0.21352421537041372,idxq4-64_queryq4-64
1374849628,1374849632.0,H1,64.0,0.09338666498661041,0.1299405843019485,,BACKGROUND,BACKGROUND,0.13209254726767536,0.2630360516905726,idxq4-64_queryq4-64
1374849628,1374849632.0,H1,128.0,0.09319835156202316,0.1299405843019485,,BACKGROUND,BACKGROUND,0.1436650867760179,0.33834537237881496,idxq4-64_queryq4-64
1386235452,1386235456.0,H1,4.0,0.12994028627872467,0.1299401670694351,1.1920928957853683e-07,BACKGROUND,BACKGROUND,0.13023118793964325,0.2040884156525078,idxq4-64_queryq4-64
1386235452,1386235456.0,H1,16.0,0.1266423612833023,0.1299401670694351,,BACKGROUND,BACKGROUND,0.12798184379935182,0.21352421537041372,idxq4-64_queryq4-64
1386235452,1386235456.0,H1,64.0,0.130840465426445,0.1299401670694351,,AMBIGUOUS,BACKGROUND,0.13209254726767536,0.2630360516905726,idxq4-64_queryq4-64
1386235452,1386235456.0,H1,128.0,0.12599244713783264,0.1299401670694351,,BACKGROUND,BACKGROUND,0.1436650867760179,0.33834537237881496,idxq4-64_queryq4-64
1378535196,1378535200.0,H1,4.0,0.1299162358045578,0.1299158781766891,3.576278687078549e-07,BACKGROUND,BACKGROUND,0.13023118793964325,0.2040884156525078,idxq4-64_queryq4-64
1378535196,1378535200.0,H1,16.0,0.1209992840886116,0.1299158781766891,,BACKGROUND,BACKGROUND,0.12798184379935182,0.21352421537041372,idxq4-64_queryq4-64
1378535196,1378535200.0,H1,64.0,0.1167813166975975,0.1299158781766891,,BACKGROUND,BACKGROUND,0.13209254726767536,0.2630360516905726,idxq4-64_queryq4-64
1378535196,1378535200.0,H1,128.0,0.11525246500968933,0.1299158781766891,,BACKGROUND,BACKGROUND,0.1436650867760179,0.33834537237881496,idxq4-64_queryq4-64
