shift_id,offset_s,covered_any,covered_both,overlap_any,overlap_both
724,2178137.3082416123,116,70,2,0
725,920617.7951975097,112,77,2,0
726,5083422.319797688,113,81,1,0
727,1417165.839840943,111,77,3,0
728,9328751.096561104,115,78,3,0
729,10566904.632808935,114,77,1,0
730,6433945.496892871,115,72,2,0
731,1121285.0959377561,113,78,0,0
732,2352735.638257996,115,73,4,0
733,7894761.106468264,106,77,3,0
734,1315587.568004965,114,70,1,0
735,14264957.671795879,108,72,2,0
736,4290490.349069271,108,72,3,0
737,6220748.590230617,115,76,1,0
738,8090148.632621933,111,77,2,0
739,8546741.784515027,113,65,5,0
740,120124.98717677928,112,78,2,0
741,2362280.2660931502,115,66,3,0
742,17607077.654624257,114,77,1,0
743,111440.54026682561,117,74,4,0
744,10406059.394905543,107,69,0,0
745,10027010.947345778,112,67,2,0
746,6850742.984139629,105,71,4,0
747,8845616.59432604,105,67,3,0
748,15938129.508434864,101,65,2,0
749,17169228.38433085,115,78,2,0
750,5373454.080259532,113,79,3,0
751,6635406.878996271,117,81,4,0
752,5010644.78615817,108,65,2,0
753,9831273.99303081,111,77,5,0
754,13961737.42399211,110,75,3,1
755,4721668.093760959,111,75,3,0
756,6802849.15535341,103,74,3,0
757,18980278.660153434,119,81,1,0
758,1072725.7104960857,113,71,1,0
759,9443524.835363016,115,73,4,0
760,14536436.085530726,110,70,1,0
761,3141759.8851045603,109,73,1,0
