selection_ordinal,gps_start,gps_end,source_path,source_start,source_end,detector,run,calibration_score,bootstrap_block_index,sampling_strategy
88,1370137988.0,1370138020.0,E:\o4a\1370010112\H1_1370137088_1370141184.hdf5,1370137088.0,1370141184.0,H1,O4a,0.0587616562843322,12,run_spanning_complete_raw_blocks_within_block_even_spacing
89,1370138116.0,1370138148.0,E:\o4a\1370010112\H1_1370137088_1370141184.hdf5,1370137088.0,1370141184.0,H1,O4a,0.065065361559391,12,run_spanning_complete_raw_blocks_within_block_even_spacing
90,1370403332.0,1370403364.0,E:\o4a\1370010112\H1_1370403328_1370407424.hdf5,1370403328.0,1370407424.0,H1,O4a,0.0588118135929107,17,run_spanning_complete_raw_blocks_within_block_even_spacing
91,1370403396.0,1370403428.0,E:\o4a\1370010112\H1_1370403328_1370407424.hdf5,1370403328.0,1370407424.0,H1,O4a,0.0572392530739307,17,run_spanning_complete_raw_blocks_within_block_even_spacing
92,1370403524.0,1370403556.0,E:\o4a\1370010112\H1_1370403328_1370407424.hdf5,1370403328.0,1370407424.0,H1,O4a,0.0632451027631759,17,run_spanning_complete_raw_blocks_within_block_even_spacing
93,1370403652.0,1370403684.0,E:\o4a\1370010112\H1_1370403328_1370407424.hdf5,1370403328.0,1370407424.0,H1,O4a,0.0652795061469078,17,run_spanning_complete_raw_blocks_within_block_even_spacing
94,1370403780.0,1370403812.0,E:\o4a\1370010112\H1_1370403328_1370407424.hdf5,1370403328.0,1370407424.0,H1,O4a,0.0600068494677543,17,run_spanning_complete_raw_blocks_within_block_even_spacing
95,1370403844.0,1370403876.0,E:\o4a\1370010112\H1_1370403328_1370407424.hdf5,1370403328.0,1370407424.0,H1,O4a,0.0699291378259658,17,run_spanning_complete_raw_blocks_within_block_even_spacing
96,1370403972.0,1370404004.0,E:\o4a\1370010112\H1_1370403328_1370407424.hdf5,1370403328.0,1370407424.0,H1,O4a,0.0660304874181747,17,run_spanning_complete_raw_blocks_within_block_even_spacing
97,1370404100.0,1370404132.0,E:\o4a\1370010112\H1_1370403328_1370407424.hdf5,1370403328.0,1370407424.0,H1,O4a,0.0618742853403091,17,run_spanning_complete_raw_blocks_within_block_even_spacing
98,1370404228.0,1370404260.0,E:\o4a\1370010112\H1_1370403328_1370407424.hdf5,1370403328.0,1370407424.0,H1,O4a,0.056586567312479,17,run_spanning_complete_raw_blocks_within_block_even_spacing
99,1370404356.0,1370404388.0,E:\o4a\1370010112\H1_1370403328_1370407424.hdf5,1370403328.0,1370407424.0,H1,O4a,0.1187694743275642,17,run_spanning_complete_raw_blocks_within_block_even_spacing
100,1370778436.0,1370778468.0,E:\o4a\1370528512\H1_1370778368_1370782464.hdf5,1370778368.0,1370782464.0,H1,O4a,0.0699788853526115,23,run_spanning_complete_raw_blocks_within_block_even_spacing
101,1370778500.0,1370778532.0,E:\o4a\1370528512\H1_1370778368_1370782464.hdf5,1370778368.0,1370782464.0,H1,O4a,0.0649232119321823,23,run_spanning_complete_raw_blocks_within_block_even_spacing
102,1370778628.0,1370778660.0,E:\o4a\1370528512\H1_1370778368_1370782464.hdf5,1370778368.0,1370782464.0,H1,O4a,0.0742004588246345,23,run_spanning_complete_raw_blocks_within_block_even_spacing
103,1370778756.0,1370778788.0,E:\o4a\1370528512\H1_1370778368_1370782464.hdf5,1370778368.0,1370782464.0,H1,O4a,0.0563583448529243,23,run_spanning_complete_raw_blocks_within_block_even_spacing
104,1370778884.0,1370778916.0,E:\o4a\1370528512\H1_1370778368_1370782464.hdf5,1370778368.0,1370782464.0,H1,O4a,0.0559354163706302,23,run_spanning_complete_raw_blocks_within_block_even_spacing
105,1370778948.0,1370778980.0,E:\o4a\1370528512\H1_1370778368_1370782464.hdf5,1370778368.0,1370782464.0,H1,O4a,0.052719347178936,23,run_spanning_complete_raw_blocks_within_block_even_spacing
106,1370779076.0,1370779108.0,E:\o4a\1370528512\H1_1370778368_1370782464.hdf5,1370778368.0,1370782464.0,H1,O4a,0.0671490356326103,23,run_spanning_complete_raw_blocks_within_block_even_spacing
107,1370779204.0,1370779236.0,E:\o4a\1370528512\H1_1370778368_1370782464.hdf5,1370778368.0,1370782464.0,H1,O4a,0.0621632672846317,23,run_spanning_complete_raw_blocks_within_block_even_spacing
108,1370779332.0,1370779364.0,E:\o4a\1370528512\H1_1370778368_1370782464.hdf5,1370778368.0,1370782464.0,H1,O4a,0.0691355243325233,23,run_spanning_complete_raw_blocks_within_block_even_spacing
109,1370779460.0,1370779492.0,E:\o4a\1370528512\H1_1370778368_1370782464.hdf5,1370778368.0,1370782464.0,H1,O4a,0.0564393401145935,23,run_spanning_complete_raw_blocks_within_block_even_spacing
110,1371425924.0,1371425956.0,E:\o4a\1371046912\H1_1371423744_1371427840.hdf5,1371423744.0,1371427840.0,H1,O4a,0.066722460091114,32,run_spanning_complete_raw_blocks_within_block_even_spacing
111,1371425988.0,1371426020.0,E:\o4a\1371046912\H1_1371423744_1371427840.hdf5,1371423744.0,1371427840.0,H1,O4a,0.064996100962162,32,run_spanning_complete_raw_blocks_within_block_even_spacing
112,1371426116.0,1371426148.0,E:\o4a\1371046912\H1_1371423744_1371427840.hdf5,1371423744.0,1371427840.0,H1,O4a,0.0627171695232391,32,run_spanning_complete_raw_blocks_within_block_even_spacing
113,1371426244.0,1371426276.0,E:\o4a\1371046912\H1_1371423744_1371427840.hdf5,1371423744.0,1371427840.0,H1,O4a,0.1008047610521316,32,run_spanning_complete_raw_blocks_within_block_even_spacing
114,1371426372.0,1371426404.0,E:\o4a\1371046912\H1_1371423744_1371427840.hdf5,1371423744.0,1371427840.0,H1,O4a,0.0672837346792221,32,run_spanning_complete_raw_blocks_within_block_even_spacing
