candidate_key,gps_start,detector,robustness_class_idxq4_64_queryq4_64,native_score_idxq4_64_queryq4_64,autoencoder_percentile_mean,autoencoder_percentile_seed_42,autoencoder_mse_seed_42,autoencoder_percentile_seed_314159,autoencoder_mse_seed_314159,autoencoder_percentile_seed_271828,autoencoder_mse_seed_271828
H1:1373761756,1373761756.0,H1,AMBIGUOUS,0.1945765316486358,0.7659033078880407,0.7709923664122137,0.9791826009750366,0.732824427480916,0.9647225141525269,0.7938931297709924,0.9916622042655945
H1:1374169564,1374169564.0,H1,AMBIGUOUS,0.1944475620985031,0.7404580152671755,0.7251908396946565,0.9658328890800476,0.732824427480916,0.9630365371704102,0.7633587786259542,0.9820669889450073
L1:1370926300,1370926300.0,L1,ROBUST,0.219608873128891,0.12213740458015267,0.09923664122137404,0.8068500757217407,0.1450381679389313,0.7920035123825073,0.12213740458015267,0.7965725660324097
L1:1377457948,1377457948.0,L1,ROBUST,0.2201695740222931,0.9872773536895675,0.9847328244274809,1.135291337966919,0.9847328244274809,1.130789041519165,0.9923664122137404,1.1451773643493652
L1:1381819708,1381819708.0,L1,ROBUST,0.220337375998497,0.989821882951654,0.9923664122137404,1.4232287406921387,0.9847328244274809,1.3602386713027954,0.9923664122137404,1.324692964553833
L1:1369905596,1369905596.0,L1,ROBUST,0.2204306423664093,0.04071246819338423,0.007633587786259542,0.7295058965682983,0.061068702290076333,0.7496153116226196,0.05343511450381679,0.7403882741928101
L1:1380089052,1380089052.0,L1,ROBUST,0.220627948641777,0.6895674300254452,0.7175572519083969,0.9775049686431885,0.6412213740458015,0.9727895259857178,0.7099236641221374,0.9689852595329285
L1:1378025468,1378025468.0,L1,ROBUST,0.2206320464611053,0.9745547073791349,0.9770992366412213,1.109243392944336,0.9618320610687023,1.0911905765533447,0.9847328244274809,1.086038589477539
L1:1376195772,1376195772.0,L1,ROBUST,0.2208759188652038,0.8753180661577608,0.8320610687022901,1.0358915328979492,0.9083969465648855,1.043229341506958,0.8854961832061069,1.0341743230819702
L1:1369477148,1369477148.0,L1,ROBUST,0.221188798546791,0.20610687022900764,0.16030534351145037,0.8355505466461182,0.2366412213740458,0.8323056697845459,0.22137404580152673,0.8367301225662231
L1:1369963356,1369963356.0,L1,ROBUST,0.2215611785650253,0.08396946564885495,0.061068702290076333,0.778950035572052,0.11450381679389313,0.7815452814102173,0.07633587786259542,0.7590688467025757
L1:1383396028,1383396028.0,L1,ROBUST,0.2216137647628784,0.989821882951654,0.9923664122137404,1.252753734588623,0.9847328244274809,1.2749145030975342,0.9923664122137404,1.2011535167694092
L1:1370570972,1370570972.0,L1,ROBUST,0.2217374294996261,0.03307888040712468,0.007633587786259542,0.7311403751373291,0.03816793893129771,0.7412803173065186,0.05343511450381679,0.7403388023376465
L1:1385847260,1385847260.0,L1,ROBUST,0.2217752188444137,0.9872773536895675,0.9847328244274809,1.1260590553283691,0.9847328244274809,1.1261827945709229,0.9923664122137404,1.1172326803207397
L1:1370629308,1370629308.0,L1,ROBUST,0.221891850233078,0.28498727735368956,0.2824427480916031,0.8736646175384521,0.2366412213740458,0.8333830237388611,0.33587786259541985,0.8665297627449036
